1976,1,331.75
1976,2,332.56
1976,3,333.5
1976,4,334.58
1976,5,334.88
1976,6,334.34
1976,7,333.05
1976,8,330.94
1976,9,329.3
1976,10,328.94
1976,11,330.31
1976,12,331.68
1977,1,332.93
1977,2,333.42
1977,3,334.7
1977,4,336.07
1977,5,336.75
1977,6,336.27
1977,7,334.92
1977,8,332.75
1977,9,331.59
1977,10,331.16
1977,11,332.4
1977,12,333.85
1978,1,334.97
1978,2,335.38
1978,3,336.64
1978,4,337.76
1978,5,338.01
1978,6,337.89
1978,7,336.54
1978,8,334.68
1978,9,332.76
1978,10,332.55
1978,11,333.92
1978,12,334.95
1979,1,336.23
1979,2,336.76
1979,3,337.96
1979,4,338.89
1979,5,339.47
1979,6,339.29
1979,7,337.73
1979,8,336.09
1979,9,333.91
1979,10,333.86
1979,11,335.29
1979,12,336.73
1980,1,338.02
1980,2,338.36
1980,3,340.07
1980,4,340.77
1980,5,341.47
1980,6,341.17
1980,7,339.56
1980,8,337.6
1980,9,335.88
1980,10,336.02
1980,11,337.1
1980,12,338.21
1981,1,339.24
1981,2,340.48
1981,3,341.38
1981,4,342.51
1981,5,342.91
1981,6,342.25
1981,7,340.49
1981,8,338.43
1981,9,336.69
1981,10,336.86
1981,11,338.36
1981,12,339.61
1982,1,340.75
1982,2,341.61
1982,3,342.7
1982,4,343.57
1982,5,344.14
1982,6,343.35
1982,7,342.06
1982,8,339.81
1982,9,337.98
1982,10,337.86
1982,11,339.26
1982,12,340.49
1983,1,341.38
1983,2,342.52
1983,3,343.1
1983,4,344.94
1983,5,345.76
1983,6,345.32
1983,7,343.98
1983,8,342.38
1983,9,339.86
1983,10,339.99
1983,11,341.15
1983,12,342.99
1984,1,343.7
1984,2,344.5
1984,3,345.28
1984,4,347.07
1984,5,347.43
1984,6,346.79
1984,7,345.39
1984,8,343.28
1984,9,341.07
1984,10,341.35
1984,11,342.98
1984,12,344.22
1985,1,344.97
1985,2,345.99
1985,3,347.42
1985,4,348.35
1985,5,348.93
1985,6,348.25
1985,7,346.56
1985,8,344.68
1985,9,343.09
1985,10,342.8
1985,11,344.24
1985,12,345.55
1986,1,346.3
1986,2,346.95
1986,3,347.85
1986,4,349.55
1986,5,350.21
1986,6,349.55
1986,7,347.94
1986,8,345.9
1986,9,344.85
1986,10,344.17
1986,11,345.66
1986,12,346.9
1987,1,348.02
1987,2,348.47
1987,3,349.41
1987,4,350.99
1987,5,351.85
1987,6,351.25
1987,7,349.51
1987,8,348.1
1987,9,346.45
1987,10,346.36
1987,11,347.81
1987,12,348.96
1988,1,350.43
1988,2,351.73
1988,3,352.22
1988,4,353.59
1988,5,354.22
1988,6,353.79
1988,7,352.38
1988,8,350.43
1988,9,348.72
1988,10,348.88
1988,11,350.07
1988,12,351.34
1989,1,352.76
1989,2,353.07
1989,3,353.68
1989,4,355.42
1989,5,355.67
1989,6,355.12
1989,7,353.9
1989,8,351.67
1989,9,349.8
1989,10,349.99
1989,11,351.29
1989,12,352.53
1990,1,353.66
1990,2,354.7
1990,3,355.38
1990,4,356.2
1990,5,357.16
1990,6,356.23
1990,7,354.82
1990,8,352.91
1990,9,350.96
1990,10,351.18
1990,11,352.83
1990,12,354.21
1991,1,354.72
1991,2,355.75
1991,3,357.16
1991,4,358.6
1991,5,359.34
1991,6,358.24
1991,7,356.17
1991,8,354.02
1991,9,352.15
1991,10,352.21
1991,11,353.75
1991,12,354.99
1992,1,355.99
1992,2,356.72
1992,3,357.81
1992,4,359.15
1992,5,359.66
1992,6,359.25
1992,7,357.02
1992,8,355
1992,9,353.01
1992,10,353.31
1992,11,354.16
1992,12,355.4
1993,1,356.7
1993,2,357.16
1993,3,358.37
1993,4,359.46
1993,5,360.28
1993,6,359.59
1993,7,357.57
1993,8,355.52
1993,9,353.69
1993,10,353.99
1993,11,355.34
1993,12,356.8
1994,1,358.37
1994,2,358.91
1994,3,359.97
1994,4,361.27
1994,5,361.68
1994,6,360.94
1994,7,359.55
1994,8,357.48
1994,9,355.84
1994,10,356
1994,11,357.58
1994,12,359.04
1995,1,359.97
1995,2,361
1995,3,361.64
1995,4,363.45
1995,5,363.79
1995,6,363.26
1995,7,361.9
1995,8,359.45
1995,9,358.05
1995,10,357.76
1995,11,359.56
1995,12,360.7
1996,1,362.05
1996,2,363.24
1996,3,364.02
1996,4,364.72
1996,5,365.41
1996,6,364.97
1996,7,363.65
1996,8,361.48
1996,9,359.45
1996,10,359.6
1996,11,360.76
1996,12,362.33
1997,1,363.18
1997,2,363.99
1997,3,364.56
1997,4,366.36
1997,5,366.8
1997,6,365.62
1997,7,364.47
1997,8,362.5
1997,9,360.19
1997,10,360.78
1997,11,362.43
1997,12,364.28
1998,1,365.33
1998,2,366.15
1998,3,367.31
1998,4,368.61
1998,5,369.3
1998,6,368.87
1998,7,367.64
1998,8,365.78
1998,9,363.9
1998,10,364.23
1998,11,365.46
1998,12,366.97
1999,1,368.15
1999,2,368.87
1999,3,369.59
1999,4,371.14
1999,5,371
1999,6,370.35
1999,7,369.27
1999,8,366.93
1999,9,364.64
1999,10,365.13
1999,11,366.67
1999,12,368.01
2000,1,369.14
2000,2,369.46
2000,3,370.51
2000,4,371.66
2000,5,371.83
2000,6,371.69
2000,7,370.12
2000,8,368.12
2000,9,366.62
2000,10,366.73
2000,11,368.29
2000,12,369.53
